Nombre del repuesto,descripción ,marca,tamaño,categoria,cantidad,precio estimado,codigo,ubicación 
par espejo ,BOXER CT100 redondo,motetec ,,,2,24000,,
par espejo ,BEST 125,mototec ,,,5,22000,,
par espejo ,FZ 16,mototec,,,5,22000,,
par espejo ,AKT EVO NKD,SPARTAN,,,4,22000,,
par espejo ,pulsar 180,TWIN,,,12,24000,,
kit radios,164 mm 36 unid,MUMBAI,,,10,20000,,
kit radios ,168 mm,MUMBAI ,,,6,20000,,
kit radios,180mm,TWIN,,,5,20000,,
kit radios,172mm,TWIN,,,3,20000,,
Guayas completo,acelerador RTX,MOTOSAU,,,7,15000,,
Guayas completo,acelerador 125R,motosau,,,6,14000,,
Guayas completo ,acelerador 250TT,motosau,,,10,14000,,
Guayas completo ,acelerador 125W,MOTOSAU ,,,6,14000,,
Guayas completo ,acelerador discover125,MOTOSAU ,,,6,14000,,
Guayas completo ,acelerador XCD ,MOTOSAU ,,,9,14000,,
Guayas completo , acelerador XM180 200,MOTOSAU ,,,6,14000,,
Guayas completo ,acelerador apache,MOTOSAU ,,,9,15000,,
Guayas completo ,acelerador AKT 110,EVERTT,,,1,13000,,
Guayas completo ,acelerador RP150,MOTOSAU ,,,6,14000,,
Guayas completo ,velocímetro biz c100,EVERESTT ,,,3,13000,,
Guayas completo ,velocímetro TS125,EVERESTT ,,,1,14000,,
Guayas completo ,tacómetro TS125 CN CR,EVERESTT ,,,1,14000,,
Guayas completo ,acelerador AKT 125 Evo ,yahasuka ,,,3,12000,,
Guayas completo , acelerador criptón 115,EVERESTT ,,,3,12000,,
Guayas completo ,acelerador discover 125,yahasuka ,,,2,12000,,
Guayas completo ,acelerador pulsar NS200,MOTOSAU ,,,9,15000,,
Guayas completo ,acelerador pulsar NS200,KTO PARTES,,,2,13000,,
Guayas completo ,acelerador pulsar NS200,yahasuka ,,,2,14000,,
Guayas completo ,acelerador BWIS 100 2T,EVERESTT ,,,4,15000,,
Guayas completo ,acelerador CBF125,EVERESTT ,,,1,13000,,
Guayas completo ,acelerador BOXER CT100,EVERESTT ,,,3,13000,,
Guayas completo ,acelerador GN125,EVERESTT ,,,1,12000,,
Guayas completo ,acelerador pulsar 220,MOTOSAU ,,,5,14000,,
Guayas completo ,acelerador TT125,EVERESTT ,,,3,15000,,
Guayas completo ,acelerador libero125,yahasuka ,,,1,13000,,
Guayas completo ,acelerador C90,EVERESTT ,,,2,14000,,
Guayas completo ,clutch CB110,MOTOTEC ,,,1,13000,,
Guayas completo ,clutch pulsar 180,yahasuka,,,2,14000,,
Guayas completo ,clutch FZ16,MOTOTEC ,,,2,14000,,
Guayas completo ,"clutch AX,100",YAHASUKA ,,,4,12000,,
Guayas completo ,clutch DT125,EVERESTT ,,,4,14000,,
Guayas completo ,clutch discover 125,MOTOSAU ,,,14,14000,,
Guayas completo ,clutch BOXER100,motosau ,,,8,14000,,
Guayas completo ,clutch BOXER100,EVERESTT ,,,2,12000,,
Guayas completo ,clutch pulsar135,MOTOSAU,,,7,13000,,
Guayas completo ,clutch pulsar 180 mod viejo,MOTOSAU ,,,5,14000,,
Guayas completo ,clutch pulsar180UG,MOTOSAU ,,,1,12000,,
Guayas completo ,clutch RX115, EVOL,,,1,12000,,
Guayas completo ,clutch discover 150,MOTOSAU ,,,8,14000,,
Guayas completo ,discover 135sport,MOTOSAU ,,,5,14000,,
Guayas completo ,freno bóxer BM100,mototec ,,,3,13000,,
Guayas completo ,freno AX100,mototec ,,,3,13000,,
Guayas completo ,velocíme ECO TVS 100,mototec ,,,3,12000,,
Guayas completo ,acelerador SZR125,mototec ,,,4,14000,,
Guayas completo ,acelerador CB110,mototec ,,,3,13000,,
neumático ,2.75/3.00-18,COMSTAR,,,5,20000,,
neumático ,2.75/3.00-18,MOTOTEC ,,,2,20000,,
neumático ,3.50/4.10-17,COMSTAR ,,,6,22000,,
neumático ,3.50/4.10-17,mototec ,,,6,22000,,
neumático ,3.50/4.10-18,COMSTAR ,,,10,22000,,
neumático ,3.50/4.10-18,MOTOTEC ,,,7,22000,,
neumático ,410  -18,twin,,,4,22000,,
kit válvula,AKT 125SLR NKDDR,AKITA,,,5,38000,,
kit válvula ,CB110,CROWN ,,,2,35000,,
kit válvula ,AK.RTX RTXS RP,AKT ORIGINAL ,,,3,85000,,
kit válvula ,AK180CR5TTR180,AKT ORIGINAL ,,,5,80000,,
kit valvula,AK110S RP,AKT ORIGINAL ,,,4,55000,,
kit valvula ,admi esca CBF150,CROWN ,,,1,35000,,
kit válvula ,admi escape NXR BROS,CROWN ,,,2,35000,,
kit válvula ,admi escape vivax115,CROWN ,,,2,35000,,
kit válvula ,admi escape DR150,CROWN ,,,2,39000,,
kit válvula ,admi escape tvs100,CROWN ,,,2,37000,,
kit valvula ,admi escape dicover100,CROWN ,,,2,35000,,
kit valvula flex,admi escape AKT125W,CROWN ,,,2,35000,,
kit valvula ,admi escape AX4,CROWN ,,,1,37000,,
kit válvula ,admi escap BOXER,CROWN ,,,1,29000,,
kit valvula ,admi escape pulsar135,CROWN ,,,2,30000,,
kit valvula ,admi escape AKT200,CROWN ,,,1,35000,,
kit valvula ,admi escape AKT150,CROWN ,,,1,30000,,
cole pato,universal decorado,motoplastic ,,,9,9000,,
cole pato,universal negros ,motoplastic ,,,6,6000,,
cole pato,universal colores,motoplastic ,,,3,8000,,
manigueta izquierdo ,clutch pulsar 135,mototec ,,,7,13000,,
manigueta derecho ,freno pulsar 135,mototec ,,,3,13000,,
manigueta derecho ,pulsar 200,mototec ,,,15,13000,,
manigueta izquierdo ,clutch GN GS 125,mototec ,,,9,13000,,
manigueta derecho ,freno  GN GS 125,MOTOTEC ,,,10,13000,,
manigueta izquierdo ,clutch CB110,MOTOTEC ,,,9,13000,,
manigueta derecho ,freno CB125,mototec ,,,10,13000,,
manigueta derecho ,freno vivac df 115,mototec ,,,10,13000,,
manigueta izquierdo ,clutch AKT125,mototec ,,,8,13000,,
manigueta derecho ,freno XR150,mototec ,,,10,13000,,
manigueta izquierdo ,clutch DTK125 175,mototec ,,,9,13000,,
manigueta derecho ,freno BOXER PLATINO,indust bithoga,,,3,13000,,
manigueta derecho ,freno criptón ,motocycle ,,,6,13000,,
manigueta derecho ,freno ECODELUXE,mototec ,,,10,13000,,
manigueta izquierdo ,clutch  RX 115 DT,mototec ,,,4,13000,,
manigueta derecho ,freno RX115 DT125,DKM PARTS,,,4,13000,,
